track,scenario,iteration,event_count,duration_ms,success,outcome,accepted,duplicates,final_state,event_ids
event_sync_formal,file_room_reopen_pending,7,3,7.335,true,pending_events_restored,,,pending:3,a8ace780-6c3e-40b5-9871-bcce2f200c05+68a6f008-e436-42f8-8026-90d4c283c816+3509c54f-3c1b-4c67-9c4b-8296caeacd04
event_sync_formal,http_503_pending_recovery,7,3,11.159,true,retry_api_503,,,pending:3,a8ace780-6c3e-40b5-9871-bcce2f200c05+68a6f008-e436-42f8-8026-90d4c283c816+3509c54f-3c1b-4c67-9c4b-8296caeacd04
event_sync_formal,live_backend_upload,7,3,19.830,true,synced_3_3_0,3,0,synced:3,a8ace780-6c3e-40b5-9871-bcce2f200c05+68a6f008-e436-42f8-8026-90d4c283c816+3509c54f-3c1b-4c67-9c4b-8296caeacd04
event_sync_formal,live_backend_duplicate_replay,7,3,17.350,true,synced_3_0_3,0,3,synced:3,a8ace780-6c3e-40b5-9871-bcce2f200c05+68a6f008-e436-42f8-8026-90d4c283c816+3509c54f-3c1b-4c67-9c4b-8296caeacd04
event_sync_formal,file_room_queue_write,8,3,4.160,true,three_events_written,,,pending:3,773c9262-ecdf-4192-a1c5-4debe6f6dc6e+4436ac37-4a53-4845-8b76-36e71e42bf8d+3e027bde-4f07-4b91-bc91-6e0d0c6250ee
event_sync_formal,file_room_reopen_pending,8,3,7.896,true,pending_events_restored,,,pending:3,773c9262-ecdf-4192-a1c5-4debe6f6dc6e+4436ac37-4a53-4845-8b76-36e71e42bf8d+3e027bde-4f07-4b91-bc91-6e0d0c6250ee
event_sync_formal,http_503_pending_recovery,8,3,12.294,true,retry_api_503,,,pending:3,773c9262-ecdf-4192-a1c5-4debe6f6dc6e+4436ac37-4a53-4845-8b76-36e71e42bf8d+3e027bde-4f07-4b91-bc91-6e0d0c6250ee
event_sync_formal,live_backend_upload,8,3,20.051,true,synced_3_3_0,3,0,synced:3,773c9262-ecdf-4192-a1c5-4debe6f6dc6e+4436ac37-4a53-4845-8b76-36e71e42bf8d+3e027bde-4f07-4b91-bc91-6e0d0c6250ee
event_sync_formal,live_backend_duplicate_replay,8,3,15.140,true,synced_3_0_3,0,3,synced:3,773c9262-ecdf-4192-a1c5-4debe6f6dc6e+4436ac37-4a53-4845-8b76-36e71e42bf8d+3e027bde-4f07-4b91-bc91-6e0d0c6250ee
event_sync_formal,file_room_queue_write,9,3,3.346,true,three_events_written,,,pending:3,6a516fe4-5b45-4fe1-8bb3-fc01b910f203+f903606c-0108-4fc7-9ba8-bfb4436b8a0f+99ed39c7-cf9a-4f3b-bf3c-dcc10f72576f
event_sync_formal,file_room_reopen_pending,9,3,6.133,true,pending_events_restored,,,pending:3,6a516fe4-5b45-4fe1-8bb3-fc01b910f203+f903606c-0108-4fc7-9ba8-bfb4436b8a0f+99ed39c7-cf9a-4f3b-bf3c-dcc10f72576f
event_sync_formal,http_503_pending_recovery,9,3,10.131,true,retry_api_503,,,pending:3,6a516fe4-5b45-4fe1-8bb3-fc01b910f203+f903606c-0108-4fc7-9ba8-bfb4436b8a0f+99ed39c7-cf9a-4f3b-bf3c-dcc10f72576f
event_sync_formal,live_backend_upload,9,3,21.284,true,synced_3_3_0,3,0,synced:3,6a516fe4-5b45-4fe1-8bb3-fc01b910f203+f903606c-0108-4fc7-9ba8-bfb4436b8a0f+99ed39c7-cf9a-4f3b-bf3c-dcc10f72576f
event_sync_formal,live_backend_duplicate_replay,9,3,17.487,true,synced_3_0_3,0,3,synced:3,6a516fe4-5b45-4fe1-8bb3-fc01b910f203+f903606c-0108-4fc7-9ba8-bfb4436b8a0f+99ed39c7-cf9a-4f3b-bf3c-dcc10f72576f
event_sync_formal,file_room_queue_write,10,3,4.094,true,three_events_written,,,pending:3,8514e263-338f-4a57-94d7-6750869a0309+8ea00632-3099-4431-b909-068299f20eae+a3c7d38a-7442-4e07-8f33-1d26c980104a
event_sync_formal,file_room_reopen_pending,10,3,9.477,true,pending_events_restored,,,pending:3,8514e263-338f-4a57-94d7-6750869a0309+8ea00632-3099-4431-b909-068299f20eae+a3c7d38a-7442-4e07-8f33-1d26c980104a
event_sync_formal,http_503_pending_recovery,10,3,28.980,true,retry_api_503,,,pending:3,8514e263-338f-4a57-94d7-6750869a0309+8ea00632-3099-4431-b909-068299f20eae+a3c7d38a-7442-4e07-8f33-1d26c980104a
event_sync_formal,live_backend_upload,10,3,34.433,true,synced_3_3_0,3,0,synced:3,8514e263-338f-4a57-94d7-6750869a0309+8ea00632-3099-4431-b909-068299f20eae+a3c7d38a-7442-4e07-8f33-1d26c980104a
event_sync_formal,live_backend_duplicate_replay,10,3,20.537,true,synced_3_0_3,0,3,synced:3,8514e263-338f-4a57-94d7-6750869a0309+8ea00632-3099-4431-b909-068299f20eae+a3c7d38a-7442-4e07-8f33-1d26c980104a
